School Name,Score
University of Pretoria,22.77
University of Szeged,23.24
Johannes Kepler University Linz,24.28
Justus-Liebig-Universität Gießen,22.32
University of Turin,22.69
Université de Rennes 1,23.8
Martin-Luther-Universität Halle-Wittenberg,23.47
National Chengchi University,19.97
University of Denver,18.48
Universidad de Sevilla,19.83
Universidad Torcuato Di Tella,18.13
University of Ljubljana,21.03
Chonbuk National University,19.25
Chungnam National University,17.75
Vilnius University,17.79
Indian Institute of Technology Guwahati (IITG),21.94
University of Genoa,21.34
Loyola University Chicago,20.48
Perugia University,18.21
Universidad de Los Andes,20.87
Sharif University of Technology,20.42
Shandong University,21.01
Umm Al-Qura University,19.29
Universidade Federal de Minas Gerais,18.66
Prince of Songkla University,20.49
University of Calcutta,21.37
"Université Toulouse 1, Capitole",20.01
University of Modena,21.56
Tokai University,20.98
Missouri University of Science and Technology,18.62
Chonnam National University,19
Bogor Agricultural University,18.16
Université Montpellier 1,18.28
Universidad de Zaragoza,19.42
Jilin University,17.97
Ural State University,21.58
Al-Farabi Kazakh National University,21.93
Georgia State University,18.57
University of Kwazulu-Natal,18.35
Niigata University,19.72
University of South Florida,20.62
University of Bucharest,19.39
Universidad de Santiago de Chile,19.42
Pontificia Universidade Católica do Rio de Janeiro,17.71
Louisiana State University,21.66
University at Albany SUNY,19.95
Tilburg University,20.86
Brigham Young University,18.86
Clark University,18.58
Ritsumeikan University,19.61
Southeast University,20.16
Warsaw University of Technology,20.57
Kazan State University,20.11
"Universidade Catolica Portuguesa, Lisboa",21.06
Universidad Politecnica de Valencia,19.69
Catholic University of The Sacred Heart,20.96
Universidad Nacional de la Plata,18.39
Kasetsart University,16.91
University of Engineering & Technology (UET) Lahore,15.25
Université de Caen Basse-Normandie,16.94
Chung-Ang University,15.23
Universidad Nacional de Cordoba,14.22
Smith College,16.58
Saitama University,16.58
University of Tartu,15.52
Université Pierre-Mendès-France (UPMF),14.85
"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",17.27
Université de Cergy-Pontoise,17.02
"Université Lyon 2, Louis Lumière",16.67
American University in Cairo,16.78
University of Karachi,17.32
Kagoshima University,15.95
Southern Methodist University,16.17
Khon Kaen University,16.74
Masaryk University,15.04
University of Central Lancashire,14.72
Mie University,15.92
Brno University of Technology,17.56
University of Salford,15.1
University of the Pacific,15.18
Fu Jen Catholic University,16.68
"Université Toulouse II, Le Mirail",14.07
Universidad Nacional de Colombia,16.71
Universidad del Belgrano,15.22
National Chung Hsing University,14.89
Stevens Institute of Technology,17.62
Athens University of Economics And Business,15.96
Marquette University,14.22
University of Lahore,16.36
Baylor University,16.37
University of Dhaka,13.86
University of Western Sydney,13.74
University of Arkansas,16.89
Catania University,14.28
Alpen-Adria-Universität Klagenfurt,14.04
Doshisha University,15.31
Universidad de Concepción,14.59
Université Lille 2,16.13
Universidad de Antioquia,15.05
Gunma University,17.56
University of Tulsa,16.51
University of Santo Tomas,17.15
University of Pune,15.73
Clemson University,14.17
Universidad Iberoamericana (UIA),15.87
"Rutgers - The State University of New Jersey, Newark",16.54
Lodz University,14.07
Moscow State Institute of International Relations (MGIMO-University),11.08
Université Paris Ouest Nanterre La Défense,9.38
Universidad de Guadalajara (UAG),9.17
Sepuluh Nopember Institute of Technology,12.25
Pontificia Universidad Católica de Valparaíso,9.64
"Université Lille 3, Charles-de-Gaulle",11.25
Universidad Central de Venezuela,8.82
Aoyama Gakuin University,13.11
"Université Grenoble 3, Stendhal",12.83
Al-Imam Mohamed Ibn Saud Islamic University,13.42
Ca' Foscari University of Venice,12.5
Pepperdine University,11.33
Universidad Simón Bolívar,9.76
Binghamton University SUNY,13.56
"Université Montpellier 3, Paul-Valery",12.94
Pontificia Universidad Javeriana,6.52
Cukurova University,11.2
Instituto Tecnologico Autonomo de Mexico (ITAM),6.39
Ochanomizu University,13.17
Universidad Austral de Chile,10.03
Universidad Adolfo Ibanez,12.44
Universidad Catolica Andres Bello,5.9
University of Brawijaya,9
Universidad de La Republica,7.29
Fordham University,12.25
E.A.Buketov Karaganda State University,5.42
Universidad de Medellin,4.53
Pontificia Universidad Católica del Perú,11.77
Babes-Bolyai University,6.38
Universidad Diego Portales,13
University of Murcia,13.04
Kazakh national technical university,10.77
Universidad del Talca,9.51
Diponegoro University,13.51
Universidad Autónoma Metropolitana (UAM),12.79
Hacettepe University,6.43
University of Colombo,9.68
Paris Lodron University of Salzburg,3.18
Universidad Tecnica Federico Santa Maria,9.36
"Université Lyon 3, Jean Moulin",13.7
Université Nancy 2,9.8
Universidad Autonoma de Nuevo Leon (UANL),12.71
